nm; A
800,000000; 0,234762
799,000000; 0,234879
798,000000; 0,235011
797,000000; 0,235119
796,000000; 0,235225
795,000000; 0,235396
794,000000; 0,235520
793,000000; 0,235570
792,000000; 0,235655
791,000000; 0,235799
790,000000; 0,235959
789,000000; 0,236104
788,000000; 0,236237
787,000000; 0,236384
786,000000; 0,236538
785,000000; 0,236673
784,000000; 0,236831
783,000000; 0,236991
782,000000; 0,237151
781,000000; 0,237301
780,000000; 0,237432
779,000000; 0,237625
778,000000; 0,237781
777,000000; 0,237929
776,000000; 0,238099
775,000000; 0,238317
774,000000; 0,238519
773,000000; 0,238620
772,000000; 0,238777
771,000000; 0,238986
770,000000; 0,239184
769,000000; 0,239355
768,000000; 0,239540
767,000000; 0,239706
766,000000; 0,239876
765,000000; 0,240082
764,000000; 0,240297
763,000000; 0,240507
762,000000; 0,240687
761,000000; 0,240866
760,000000; 0,241085
759,000000; 0,241337
758,000000; 0,241490
757,000000; 0,241685
756,000000; 0,241912
755,000000; 0,242136
754,000000; 0,242365
753,000000; 0,242545
752,000000; 0,242769
751,000000; 0,242998
750,000000; 0,243195
749,000000; 0,243410
748,000000; 0,243667
747,000000; 0,243909
746,000000; 0,244125
745,000000; 0,244338
744,000000; 0,244631
743,000000; 0,244826
742,000000; 0,245040
741,000000; 0,245281
740,000000; 0,245537
739,000000; 0,245784
738,000000; 0,246025
737,000000; 0,246289
736,000000; 0,246542
735,000000; 0,246780
734,000000; 0,247038
733,000000; 0,247324
732,000000; 0,247602
731,000000; 0,247882
730,000000; 0,248166
729,000000; 0,248446
728,000000; 0,248733
727,000000; 0,249024
726,000000; 0,249336
725,000000; 0,249645
724,000000; 0,249916
723,000000; 0,250238
722,000000; 0,250517
721,000000; 0,250813
720,000000; 0,251133
719,000000; 0,251464
718,000000; 0,251800
717,000000; 0,252111
716,000000; 0,252433
715,000000; 0,252776
714,000000; 0,253123
713,000000; 0,253388
712,000000; 0,253760
711,000000; 0,254089
710,000000; 0,254412
709,000000; 0,254763
708,000000; 0,255079
707,000000; 0,255386
706,000000; 0,255712
705,000000; 0,256037
704,000000; 0,256342
703,000000; 0,256630
702,000000; 0,256986
701,000000; 0,257274
700,000000; 0,257557
699,000000; 0,257864
698,000000; 0,258169
697,000000; 0,258454
696,000000; 0,258782
695,000000; 0,259079
694,000000; 0,259346
693,000000; 0,259646
692,000000; 0,259910
691,000000; 0,260158
690,000000; 0,260421
689,000000; 0,260698
688,000000; 0,260963
687,000000; 0,261197
686,000000; 0,261446
685,000000; 0,261675
684,000000; 0,261888
683,000000; 0,262105
682,000000; 0,262307
681,000000; 0,262527
680,000000; 0,262714
679,000000; 0,262890
678,000000; 0,263081
677,000000; 0,263236
676,000000; 0,263399
675,000000; 0,263568
674,000000; 0,263721
673,000000; 0,263851
672,000000; 0,264021
671,000000; 0,264128
670,000000; 0,264268
669,000000; 0,264422
668,000000; 0,264565
667,000000; 0,264682
666,000000; 0,264830
665,000000; 0,264974
664,000000; 0,265113
663,000000; 0,265244
662,000000; 0,265362
661,000000; 0,265458
660,000000; 0,265562
659,000000; 0,265667
658,000000; 0,265774
657,000000; 0,265912
656,000000; 0,266010
655,000000; 0,266138
654,000000; 0,266259
653,000000; 0,266356
652,000000; 0,266479
651,000000; 0,266644
650,000000; 0,266773
649,000000; 0,266871
648,000000; 0,266958
647,000000; 0,267101
646,000000; 0,267249
645,000000; 0,267372
644,000000; 0,267504
643,000000; 0,267669
642,000000; 0,267761
