nm; A
800,000000; 0,281958
799,000000; 0,282119
798,000000; 0,282264
797,000000; 0,282411
796,000000; 0,282572
795,000000; 0,282748
794,000000; 0,282857
793,000000; 0,283012
792,000000; 0,283201
791,000000; 0,283381
790,000000; 0,283495
789,000000; 0,283665
788,000000; 0,283865
787,000000; 0,284075
786,000000; 0,284269
785,000000; 0,284427
784,000000; 0,284669
783,000000; 0,284855
782,000000; 0,285029
781,000000; 0,285236
780,000000; 0,285511
779,000000; 0,285732
778,000000; 0,285899
777,000000; 0,286092
776,000000; 0,286317
775,000000; 0,286541
774,000000; 0,286720
773,000000; 0,286947
772,000000; 0,287199
771,000000; 0,287442
770,000000; 0,287648
769,000000; 0,287885
768,000000; 0,288107
767,000000; 0,288332
766,000000; 0,288558
765,000000; 0,288783
764,000000; 0,289048
763,000000; 0,289287
762,000000; 0,289530
761,000000; 0,289777
760,000000; 0,290028
759,000000; 0,290301
758,000000; 0,290527
757,000000; 0,290772
756,000000; 0,291050
755,000000; 0,291338
754,000000; 0,291540
753,000000; 0,291837
752,000000; 0,292109
751,000000; 0,292371
750,000000; 0,292649
749,000000; 0,292918
748,000000; 0,293217
747,000000; 0,293504
746,000000; 0,293776
745,000000; 0,294053
744,000000; 0,294380
743,000000; 0,294618
742,000000; 0,294916
741,000000; 0,295244
740,000000; 0,295553
739,000000; 0,295786
738,000000; 0,296104
737,000000; 0,296409
736,000000; 0,296713
735,000000; 0,297022
734,000000; 0,297329
733,000000; 0,297697
732,000000; 0,298004
731,000000; 0,298306
730,000000; 0,298633
729,000000; 0,298991
728,000000; 0,299334
727,000000; 0,299680
726,000000; 0,300009
725,000000; 0,300342
724,000000; 0,300714
723,000000; 0,301077
722,000000; 0,301450
721,000000; 0,301807
720,000000; 0,302169
719,000000; 0,302560
718,000000; 0,302924
717,000000; 0,303317
716,000000; 0,303693
715,000000; 0,304067
714,000000; 0,304459
713,000000; 0,304865
712,000000; 0,305218
711,000000; 0,305593
710,000000; 0,305974
709,000000; 0,306355
708,000000; 0,306777
707,000000; 0,307172
706,000000; 0,307577
705,000000; 0,307961
704,000000; 0,308315
703,000000; 0,308685
702,000000; 0,309093
701,000000; 0,309441
700,000000; 0,309802
699,000000; 0,310187
698,000000; 0,310524
697,000000; 0,310934
696,000000; 0,311272
695,000000; 0,311617
694,000000; 0,311988
693,000000; 0,312350
692,000000; 0,312667
691,000000; 0,312989
690,000000; 0,313316
689,000000; 0,313639
688,000000; 0,313947
687,000000; 0,314294
686,000000; 0,314546
685,000000; 0,314844
684,000000; 0,315154
683,000000; 0,315397
682,000000; 0,315671
681,000000; 0,315916
680,000000; 0,316126
679,000000; 0,316352
678,000000; 0,316623
677,000000; 0,316787
676,000000; 0,317026
675,000000; 0,317247
674,000000; 0,317427
673,000000; 0,317581
672,000000; 0,317803
671,000000; 0,317918
670,000000; 0,318092
669,000000; 0,318257
668,000000; 0,318371
667,000000; 0,318519
666,000000; 0,318656
665,000000; 0,318769
664,000000; 0,318896
663,000000; 0,319049
662,000000; 0,319186
661,000000; 0,319342
660,000000; 0,319475
659,000000; 0,319633
658,000000; 0,319823
657,000000; 0,319950
656,000000; 0,320127
655,000000; 0,320306
654,000000; 0,320470
653,000000; 0,320629
652,000000; 0,320848
651,000000; 0,320999
650,000000; 0,321163
649,000000; 0,321310
648,000000; 0,321440
647,000000; 0,321689
646,000000; 0,321834
645,000000; 0,322006
644,000000; 0,322200
643,000000; 0,322393
642,000000; 0,322596
641,000000; 0,322777
640,000000; 0,322981
639,000000; 0,323203
638,000000; 0,323416
637,000000; 0,323594
636,000000; 0,323799
635,000000; 0,324021
634,000000; 0,324245
633,000000; 0,324455
632,000000; 0,324646
631,000000; 0,324882
630,000000; 0,325062
629,000000; 0,325224
628,000000; 0,325407
627,000000; 0,325581
626,000000; 0,325811
625,000000; 0,325992
624,000000; 0,326209
623,000000; 0,326466
622,000000; 0,326578
621,000000; 0,326808
620,000000; 0,326932
619,000000; 0,327060
618,000000; 0,327242
617,000000; 0,327437
616,000000; 0,327559
615,000000; 0,327710
614,000000; 0,327855
613,000000; 0,327979
612,000000; 0,328088
611,000000; 0,328182
610,000000; 0,328291
609,000000; 0,328361
608,000000; 0,328416
607,000000; 0,328517
606,000000; 0,328538
605,000000; 0,328645
604,000000; 0,328678
603,000000; 0,328695
602,000000; 0,328805
601,000000; 0,328761
600,000000; 0,328821
599,000000; 0,328840
598,000000; 0,328840
597,000000; 0,328868
596,000000; 0,328835
595,000000; 0,328821
594,000000; 0,328825
593,000000; 0,328811
592,000000; 0,328769
591,000000; 0,328784
590,000000; 0,328724
589,000000; 0,328688
588,000000; 0,328639
587,000000; 0,328549
586,000000; 0,328452
585,000000; 0,328429
584,000000; 0,328360
583,000000; 0,328276
582,000000; 0,328187
581,000000; 0,328059
580,000000; 0,327989
579,000000; 0,327891
578,000000; 0,327769
577,000000; 0,327634
576,000000; 0,327502
575,000000; 0,327425
574,000000; 0,327257
573,000000; 0,327112
572,000000; 0,327010
571,000000; 0,326895
570,000000; 0,326727
569,000000; 0,326540
568,000000; 0,326374
567,000000; 0,326228
566,000000; 0,326079
565,000000; 0,325870
564,000000; 0,325766
563,000000; 0,325602
562,000000; 0,325375
561,000000; 0,325147
560,000000; 0,325002
559,000000; 0,324850
558,000000; 0,324656
557,000000; 0,324458
556,000000; 0,324285
555,000000; 0,324038
554,000000; 0,323861
553,000000; 0,323707
552,000000; 0,323535
551,000000; 0,323319
550,000000; 0,323077
549,000000; 0,322973
548,000000; 0,322772
547,000000; 0,322595
546,000000; 0,322482
545,000000; 0,322274
544,000000; 0,322066
543,000000; 0,321910
542,000000; 0,321788
541,000000; 0,321658
540,000000; 0,321455
539,000000; 0,321307
538,000000; 0,321169
537,000000; 0,321024
536,000000; 0,320870
535,000000; 0,320720
534,000000; 0,320632
533,000000; 0,320477
532,000000; 0,320355
531,000000; 0,320256
530,000000; 0,320079
529,000000; 0,320041
528,000000; 0,319893
527,000000; 0,319746
526,000000; 0,319645
525,000000; 0,319572
524,000000; 0,319523
523,000000; 0,319406
522,000000; 0,319293
521,000000; 0,319190
520,000000; 0,319039
519,000000; 0,318941
518,000000; 0,318897
517,000000; 0,318849
516,000000; 0,318762
515,000000; 0,318630
514,000000; 0,318595
513,000000; 0,318510
512,000000; 0,318385
511,000000; 0,318246
510,000000; 0,318144
509,000000; 0,317994
508,000000; 0,317894
507,000000; 0,317781
506,000000; 0,317617
505,000000; 0,317411
504,000000; 0,317209
503,000000; 0,317073
502,000000; 0,316867
501,000000; 0,316567
500,000000; 0,316333
499,000000; 0,316063
498,000000; 0,315768
497,000000; 0,315461
496,000000; 0,315120
495,000000; 0,314665
494,000000; 0,314312
493,000000; 0,313899
492,000000; 0,313441
491,000000; 0,312959
490,000000; 0,312462
