nm; A
800,000000; 0,326165
799,000000; 0,326377
798,000000; 0,326542
797,000000; 0,326699
796,000000; 0,326867
795,000000; 0,327048
794,000000; 0,327281
793,000000; 0,327451
792,000000; 0,327628
791,000000; 0,327833
790,000000; 0,328052
789,000000; 0,328268
788,000000; 0,328478
787,000000; 0,328692
786,000000; 0,328911
785,000000; 0,329130
784,000000; 0,329389
783,000000; 0,329586
782,000000; 0,329776
781,000000; 0,330001
780,000000; 0,330291
779,000000; 0,330539
778,000000; 0,330767
777,000000; 0,331000
776,000000; 0,331259
775,000000; 0,331555
774,000000; 0,331802
773,000000; 0,332022
772,000000; 0,332280
771,000000; 0,332566
770,000000; 0,332839
769,000000; 0,333069
768,000000; 0,333335
767,000000; 0,333579
766,000000; 0,333826
765,000000; 0,334115
764,000000; 0,334378
763,000000; 0,334680
762,000000; 0,334972
761,000000; 0,335244
760,000000; 0,335507
759,000000; 0,335823
758,000000; 0,336074
757,000000; 0,336384
756,000000; 0,336708
755,000000; 0,336995
754,000000; 0,337349
753,000000; 0,337613
752,000000; 0,337917
751,000000; 0,338234
750,000000; 0,338532
749,000000; 0,338847
748,000000; 0,339142
747,000000; 0,339498
746,000000; 0,339849
745,000000; 0,340153
744,000000; 0,340488
743,000000; 0,340785
742,000000; 0,341127
741,000000; 0,341466
740,000000; 0,341788
739,000000; 0,342156
738,000000; 0,342475
737,000000; 0,342841
736,000000; 0,343201
735,000000; 0,343538
734,000000; 0,343892
733,000000; 0,344238
732,000000; 0,344625
731,000000; 0,345017
730,000000; 0,345403
729,000000; 0,345790
728,000000; 0,346172
727,000000; 0,346585
726,000000; 0,346986
725,000000; 0,347387
724,000000; 0,347825
723,000000; 0,348189
722,000000; 0,348612
721,000000; 0,349012
720,000000; 0,349408
719,000000; 0,349845
718,000000; 0,350282
717,000000; 0,350712
716,000000; 0,351154
715,000000; 0,351597
714,000000; 0,352027
713,000000; 0,352467
712,000000; 0,352933
711,000000; 0,353371
710,000000; 0,353798
709,000000; 0,354230
708,000000; 0,354637
707,000000; 0,355048
706,000000; 0,355478
705,000000; 0,355906
704,000000; 0,356322
703,000000; 0,356732
702,000000; 0,357163
701,000000; 0,357551
700,000000; 0,357934
699,000000; 0,358323
698,000000; 0,358688
697,000000; 0,359075
696,000000; 0,359477
695,000000; 0,359863
694,000000; 0,360232
693,000000; 0,360600
692,000000; 0,360918
691,000000; 0,361279
690,000000; 0,361638
689,000000; 0,361976
688,000000; 0,362292
687,000000; 0,362595
686,000000; 0,362909
685,000000; 0,363210
684,000000; 0,363492
683,000000; 0,363754
682,000000; 0,363970
681,000000; 0,364264
680,000000; 0,364525
679,000000; 0,364751
678,000000; 0,364968
677,000000; 0,365195
676,000000; 0,365405
675,000000; 0,365602
674,000000; 0,365783
673,000000; 0,365958
672,000000; 0,366167
671,000000; 0,366342
670,000000; 0,366529
669,000000; 0,366708
668,000000; 0,366875
667,000000; 0,367078
666,000000; 0,367250
665,000000; 0,367434
664,000000; 0,367624
663,000000; 0,367817
662,000000; 0,368010
661,000000; 0,368160
660,000000; 0,368299
659,000000; 0,368432
658,000000; 0,368557
657,000000; 0,368662
656,000000; 0,368793
655,000000; 0,368920
654,000000; 0,369036
653,000000; 0,369142
652,000000; 0,369263
651,000000; 0,369413
650,000000; 0,369550
649,000000; 0,369669
648,000000; 0,369785
647,000000; 0,369968
646,000000; 0,370125
645,000000; 0,370286
644,000000; 0,370459
643,000000; 0,370648
642,000000; 0,370817
641,000000; 0,371041
640,000000; 0,371260
639,000000; 0,371467
638,000000; 0,371672
637,000000; 0,371873
636,000000; 0,372083
635,000000; 0,372286
634,000000; 0,372487
633,000000; 0,372697
632,000000; 0,372931
631,000000; 0,373145
630,000000; 0,373376
629,000000; 0,373603
628,000000; 0,373808
627,000000; 0,374014
626,000000; 0,374247
625,000000; 0,374510
624,000000; 0,374743
623,000000; 0,374926
622,000000; 0,375126
621,000000; 0,375384
620,000000; 0,375560
619,000000; 0,375745
618,000000; 0,375963
617,000000; 0,376141
616,000000; 0,376338
615,000000; 0,376493
614,000000; 0,376654
613,000000; 0,376821
612,000000; 0,376954
611,000000; 0,377092
610,000000; 0,377224
609,000000; 0,377371
608,000000; 0,377510
607,000000; 0,377603
606,000000; 0,377713
605,000000; 0,377763
604,000000; 0,377822
603,000000; 0,377902
602,000000; 0,377984
601,000000; 0,377993
600,000000; 0,378034
599,000000; 0,378077
598,000000; 0,378137
597,000000; 0,378208
596,000000; 0,378132
595,000000; 0,378127
594,000000; 0,378169
593,000000; 0,378186
592,000000; 0,378141
591,000000; 0,378137
590,000000; 0,378146
589,000000; 0,378146
588,000000; 0,378119
587,000000; 0,378061
586,000000; 0,377996
585,000000; 0,377994
584,000000; 0,377941
583,000000; 0,377909
582,000000; 0,377899
581,000000; 0,377800
580,000000; 0,377692
579,000000; 0,377622
578,000000; 0,377583
577,000000; 0,377535
576,000000; 0,377417
575,000000; 0,377318
574,000000; 0,377198
573,000000; 0,377071
572,000000; 0,376951
571,000000; 0,376855
570,000000; 0,376788
569,000000; 0,376650
568,000000; 0,376501
567,000000; 0,376364
566,000000; 0,376243
565,000000; 0,376110
564,000000; 0,375952
563,000000; 0,375798
562,000000; 0,375665
561,000000; 0,375553
560,000000; 0,375375
559,000000; 0,375158
558,000000; 0,374994
557,000000; 0,374844
556,000000; 0,374665
555,000000; 0,374516
554,000000; 0,374334
553,000000; 0,374159
552,000000; 0,374003
551,000000; 0,373859
550,000000; 0,373679
549,000000; 0,373510
548,000000; 0,373338
547,000000; 0,373162
546,000000; 0,372983
545,000000; 0,372809
544,000000; 0,372670
543,000000; 0,372525
542,000000; 0,372363
541,000000; 0,372187
540,000000; 0,372015
539,000000; 0,371890
538,000000; 0,371764
537,000000; 0,371614
536,000000; 0,371456
535,000000; 0,371336
534,000000; 0,371192
533,000000; 0,371101
532,000000; 0,370959
531,000000; 0,370778
530,000000; 0,370671
529,000000; 0,370555
528,000000; 0,370440
527,000000; 0,370335
526,000000; 0,370233
525,000000; 0,370113
524,000000; 0,369987
523,000000; 0,369878
522,000000; 0,369757
521,000000; 0,369640
520,000000; 0,369580
519,000000; 0,369466
518,000000; 0,369355
517,000000; 0,369279
516,000000; 0,369221
515,000000; 0,369104
514,000000; 0,368954
513,000000; 0,368855
512,000000; 0,368777
511,000000; 0,368678
510,000000; 0,368496
509,000000; 0,368289
508,000000; 0,368155
507,000000; 0,368018
506,000000; 0,367837
505,000000; 0,367620
504,000000; 0,367365
503,000000; 0,367130
502,000000; 0,366864
501,000000; 0,366564
500,000000; 0,366304
499,000000; 0,365951
498,000000; 0,365585
497,000000; 0,365179
496,000000; 0,364746
495,000000; 0,364361
494,000000; 0,363842
493,000000; 0,363284
492,000000; 0,362724
491,000000; 0,362162
490,000000; 0,361541
489,000000; 0,360989
488,000000; 0,360295
487,000000; 0,359584
486,000000; 0,358913
485,000000; 0,358164
484,000000; 0,357352
483,000000; 0,356599
482,000000; 0,355860
481,000000; 0,355070
480,000000; 0,354194
479,000000; 0,353433
478,000000; 0,352691
477,000000; 0,351883
476,000000; 0,351058
475,000000; 0,350265
474,000000; 0,349508
473,000000; 0,348737
472,000000; 0,348032
471,000000; 0,347379
470,000000; 0,346769
469,000000; 0,346201
468,000000; 0,345697
467,000000; 0,345289
466,000000; 0,344986
465,000000; 0,344759
464,000000; 0,344569
463,000000; 0,344398
462,000000; 0,344391
461,000000; 0,344482
460,000000; 0,344647
459,000000; 0,345017
458,000000; 0,345395
457,000000; 0,345866
456,000000; 0,346448
455,000000; 0,347109
454,000000; 0,347878
453,000000; 0,348660
452,000000; 0,349490
451,000000; 0,350468
450,000000; 0,351587
449,000000; 0,352658
448,000000; 0,353776
447,000000; 0,354925
446,000000; 0,356051
445,000000; 0,357287
444,000000; 0,358431
443,000000; 0,359608
442,000000; 0,360775
441,000000; 0,361886
440,000000; 0,363098
439,000000; 0,364189
438,000000; 0,365235
437,000000; 0,366273
436,000000; 0,367315
435,000000; 0,368319
434,000000; 0,369109
433,000000; 0,369985
432,000000; 0,370879
431,000000; 0,371781
430,000000; 0,372786
429,000000; 0,373651
428,000000; 0,374445
427,000000; 0,375248
426,000000; 0,376084
425,000000; 0,376937
424,000000; 0,377887
423,000000; 0,378626
422,000000; 0,379333
421,000000; 0,380082
420,000000; 0,380878
419,000000; 0,381556
418,000000; 0,382307
417,000000; 0,382827
416,000000; 0,383337
415,000000; 0,384052
414,000000; 0,384549
413,000000; 0,384842
412,000000; 0,385110
411,000000; 0,385392
410,000000; 0,385666
409,000000; 0,385746
408,000000; 0,385709
407,000000; 0,385697
406,000000; 0,385784
405,000000; 0,385954
404,000000; 0,385938
403,000000; 0,386002
402,000000; 0,385962
401,000000; 0,385909
400,000000; 0,386084
399,000000; 0,387036
398,000000; 0,387002
397,000000; 0,387230
396,000000; 0,387421
395,000000; 0,387447
394,000000; 0,387788
393,000000; 0,388152
392,000000; 0,388494
391,000000; 0,388935
390,000000; 0,389458
389,000000; 0,389796
388,000000; 0,389979
387,000000; 0,390129
386,000000; 0,390549
385,000000; 0,391227
384,000000; 0,391714
383,000000; 0,392374
382,000000; 0,392824
381,000000; 0,393308
380,000000; 0,393943
379,000000; 0,394696
378,000000; 0,394961
377,000000; 0,395205
376,000000; 0,395742
375,000000; 0,396526
374,000000; 0,397337
373,000000; 0,398014
372,000000; 0,398088
371,000000; 0,398501
370,000000; 0,399284
369,000000; 0,400221
368,000000; 0,401011
367,000000; 0,402158
366,000000; 0,402637
365,000000; 0,403511
364,000000; 0,405140
363,000000; 0,405954
362,000000; 0,406378
361,000000; 0,407774
360,000000; 0,408360
359,000000; 0,407981
358,000000; 0,409797
357,000000; 0,410123
356,000000; 0,410997
355,000000; 0,412715
354,000000; 0,415246
353,000000; 0,417937
352,000000; 0,419725
351,000000; 0,421249
350,000000; 0,414845
349,000000; 0,410524
348,000000; 0,411232
347,000000; 0,412666
346,000000; 0,414440
345,000000; 0,416171
344,000000; 0,417353
343,000000; 0,418518
342,000000; 0,420282
341,000000; 0,421915
340,000000; 0,423312
339,000000; 0,424747
338,000000; 0,426132
337,000000; 0,428085
336,000000; 0,429650
335,000000; 0,431245
334,000000; 0,432937
333,000000; 0,434527
332,000000; 0,436034
331,000000; 0,437717
330,000000; 0,439663
329,000000; 0,441831
328,000000; 0,444110
327,000000; 0,446342
326,000000; 0,448657
325,000000; 0,451932
324,000000; 0,455524
323,000000; 0,458614
322,000000; 0,461958
321,000000; 0,466053
320,000000; 0,469991
319,000000; 0,474151
318,000000; 0,479040
317,000000; 0,483484
316,000000; 0,488964
315,000000; 0,494853
314,000000; 0,501088
313,000000; 0,507700
312,000000; 0,514251
311,000000; 0,521877
310,000000; 0,529993
309,000000; 0,538473
308,000000; 0,547660
307,000000; 0,557914
306,000000; 0,568720
305,000000; 0,580090
304,000000; 0,592099
303,000000; 0,604849
302,000000; 0,618542
301,000000; 0,633382
300,000000; 0,648937
299,000000; 0,665346
298,000000; 0,683027
297,000000; 0,702497
296,000000; 0,722700
295,000000; 0,743938
294,000000; 0,766470
293,000000; 0,790423
292,000000; 0,815143
291,000000; 0,841552
290,000000; 0,869386
289,000000; 0,898728
288,000000; 0,929841
287,000000; 0,961828
286,000000; 0,995328
285,000000; 1,030205
284,000000; 1,066414
283,000000; 1,103990
282,000000; 1,142699
281,000000; 1,183035
280,000000; 1,225800
279,000000; 1,270523
278,000000; 1,315137
277,000000; 1,361469
276,000000; 1,409989
275,000000; 1,461447
274,000000; 1,515592
273,000000; 1,570726
272,000000; 1,627576
271,000000; 1,683226
270,000000; 1,741509
269,000000; 1,802552
268,000000; 1,863155
267,000000; 1,926774
266,000000; 1,992216
265,000000; 2,060658
264,000000; 2,132127
263,000000; 2,205866
262,000000; 2,280604
261,000000; 2,357061
260,000000; 2,433255
259,000000; 2,513117
258,000000; 2,604935
257,000000; 2,693849
256,000000; 2,778915
255,000000; 2,871880
254,000000; 2,970851
253,000000; 3,063872
252,000000; 3,171692
251,000000; 3,311938
250,000000; 3,509627
249,000000; 3,771439
248,000000; 4,064970
247,000000; 4,886506
246,000000; 5,000022
245,000000; 5,023267
244,000000; 5,038243
243,000000; 5,038032
242,000000; 5,046202
241,000000; 5,063350
240,000000; 5,056564
239,000000; 5,048136
238,000000; 5,057329
237,000000; 5,087734
236,000000; 5,089930
235,000000; 5,057719
234,000000; 5,027764
233,000000; 4,997558
232,000000; 4,953544
231,000000; 4,788882
230,000000; 4,828685
229,000000; 5,040823
228,000000; 5,037014
227,000000; 5,060317
226,000000; 5,050053
225,000000; 5,047116
224,000000; 5,051487
223,000000; 5,047258
222,000000; 5,039357
221,000000; 5,046571
220,000000; 5,024397
219,000000; 5,013125
218,000000; 4,992360
217,000000; 4,974578
216,000000; 4,984907
215,000000; 4,985693
214,000000; 4,971665
213,000000; 4,957816
212,000000; 4,941294
211,000000; 4,920785
210,000000; 4,942289
209,000000; 4,917273
208,000000; 4,875642
207,000000; 4,853438
206,000000; 4,867636
205,000000; 4,858262
204,000000; 4,840571
203,000000; 4,809682
202,000000; 4,777460
201,000000; 4,748551
200,000000; 4,712290
