nm; A
800,000000; 0,175363
799,000000; 0,175425
798,000000; 0,175437
797,000000; 0,175496
796,000000; 0,175606
795,000000; 0,175693
794,000000; 0,175741
793,000000; 0,175793
792,000000; 0,175872
791,000000; 0,175970
790,000000; 0,176050
789,000000; 0,176076
788,000000; 0,176207
787,000000; 0,176316
786,000000; 0,176389
785,000000; 0,176479
784,000000; 0,176609
783,000000; 0,176710
782,000000; 0,176779
781,000000; 0,176858
780,000000; 0,177004
779,000000; 0,177136
778,000000; 0,177203
777,000000; 0,177304
776,000000; 0,177438
775,000000; 0,177560
774,000000; 0,177628
773,000000; 0,177768
772,000000; 0,177924
771,000000; 0,178067
770,000000; 0,178181
769,000000; 0,178258
768,000000; 0,178415
767,000000; 0,178544
766,000000; 0,178648
765,000000; 0,178765
764,000000; 0,178949
763,000000; 0,179060
762,000000; 0,179160
761,000000; 0,179289
760,000000; 0,179463
759,000000; 0,179589
758,000000; 0,179763
757,000000; 0,179919
756,000000; 0,180067
755,000000; 0,180220
754,000000; 0,180297
753,000000; 0,180500
752,000000; 0,180685
751,000000; 0,180840
750,000000; 0,180986
749,000000; 0,181150
748,000000; 0,181309
747,000000; 0,181475
746,000000; 0,181644
745,000000; 0,181806
744,000000; 0,181943
743,000000; 0,182135
742,000000; 0,182315
741,000000; 0,182494
740,000000; 0,182671
739,000000; 0,182811
738,000000; 0,183014
737,000000; 0,183214
736,000000; 0,183392
735,000000; 0,183556
734,000000; 0,183734
733,000000; 0,183946
732,000000; 0,184140
731,000000; 0,184328
730,000000; 0,184524
729,000000; 0,184745
728,000000; 0,184984
727,000000; 0,185195
726,000000; 0,185402
725,000000; 0,185615
724,000000; 0,185833
723,000000; 0,186045
722,000000; 0,186283
721,000000; 0,186521
720,000000; 0,186757
719,000000; 0,186992
718,000000; 0,187199
717,000000; 0,187471
716,000000; 0,187719
715,000000; 0,187946
714,000000; 0,188184
713,000000; 0,188491
712,000000; 0,188712
711,000000; 0,188976
710,000000; 0,189248
709,000000; 0,189491
708,000000; 0,189728
707,000000; 0,190025
706,000000; 0,190314
705,000000; 0,190566
704,000000; 0,190791
703,000000; 0,191071
702,000000; 0,191316
701,000000; 0,191553
700,000000; 0,191820
699,000000; 0,192104
698,000000; 0,192327
697,000000; 0,192605
696,000000; 0,192872
695,000000; 0,193146
694,000000; 0,193421
693,000000; 0,193675
692,000000; 0,193917
691,000000; 0,194159
690,000000; 0,194407
689,000000; 0,194655
688,000000; 0,194891
687,000000; 0,195145
686,000000; 0,195357
685,000000; 0,195591
684,000000; 0,195828
683,000000; 0,196029
682,000000; 0,196220
681,000000; 0,196417
680,000000; 0,196613
679,000000; 0,196818
678,000000; 0,197032
677,000000; 0,197163
676,000000; 0,197348
675,000000; 0,197535
674,000000; 0,197691
673,000000; 0,197811
672,000000; 0,197968
671,000000; 0,198044
670,000000; 0,198165
669,000000; 0,198257
668,000000; 0,198288
667,000000; 0,198367
666,000000; 0,198411
665,000000; 0,198419
664,000000; 0,198436
663,000000; 0,198478
662,000000; 0,198511
661,000000; 0,198674
660,000000; 0,198811
659,000000; 0,198981
658,000000; 0,199198
657,000000; 0,199347
656,000000; 0,199529
655,000000; 0,199712
654,000000; 0,199873
653,000000; 0,200029
652,000000; 0,200273
651,000000; 0,200422
650,000000; 0,200552
649,000000; 0,200663
648,000000; 0,200762
647,000000; 0,200913
646,000000; 0,200992
645,000000; 0,201130
644,000000; 0,201285
643,000000; 0,201405
642,000000; 0,201570
641,000000; 0,201693
640,000000; 0,201832
639,000000; 0,201976
638,000000; 0,202104
637,000000; 0,202282
636,000000; 0,202400
635,000000; 0,202555
634,000000; 0,202717
633,000000; 0,202846
632,000000; 0,202985
631,000000; 0,203158
630,000000; 0,203280
629,000000; 0,203409
628,000000; 0,203578
627,000000; 0,203689
626,000000; 0,203883
625,000000; 0,204012
624,000000; 0,204149
623,000000; 0,204316
622,000000; 0,204393
621,000000; 0,204556
620,000000; 0,204666
619,000000; 0,204776
618,000000; 0,204908
617,000000; 0,205041
616,000000; 0,205118
615,000000; 0,205220
614,000000; 0,205335
613,000000; 0,205444
612,000000; 0,205525
611,000000; 0,205592
610,000000; 0,205692
609,000000; 0,205729
608,000000; 0,205752
607,000000; 0,205876
606,000000; 0,205837
605,000000; 0,205918
604,000000; 0,205942
603,000000; 0,205947
602,000000; 0,206025
601,000000; 0,205986
600,000000; 0,206049
599,000000; 0,206061
598,000000; 0,206052
597,000000; 0,206077
596,000000; 0,206063
595,000000; 0,206047
594,000000; 0,206047
593,000000; 0,206047
592,000000; 0,206032
591,000000; 0,206011
590,000000; 0,205933
589,000000; 0,205913
588,000000; 0,205883
587,000000; 0,205801
586,000000; 0,205726
585,000000; 0,205716
584,000000; 0,205645
583,000000; 0,205588
582,000000; 0,205550
581,000000; 0,205418
580,000000; 0,205357
579,000000; 0,205282
578,000000; 0,205187
577,000000; 0,205096
576,000000; 0,205058
575,000000; 0,205000
574,000000; 0,204860
573,000000; 0,204740
572,000000; 0,204659
571,000000; 0,204579
570,000000; 0,204477
569,000000; 0,204369
568,000000; 0,204259
567,000000; 0,204146
566,000000; 0,204029
565,000000; 0,203862
564,000000; 0,203803
563,000000; 0,203699
562,000000; 0,203557
561,000000; 0,203429
560,000000; 0,203299
559,000000; 0,203181
558,000000; 0,203052
557,000000; 0,202931
556,000000; 0,202833
555,000000; 0,202729
554,000000; 0,202591
553,000000; 0,202467
552,000000; 0,202367
551,000000; 0,202272
550,000000; 0,202101
549,000000; 0,201996
548,000000; 0,201907
547,000000; 0,201806
546,000000; 0,201687
545,000000; 0,201581
544,000000; 0,201503
543,000000; 0,201394
542,000000; 0,201298
541,000000; 0,201215
540,000000; 0,201093
539,000000; 0,201051
538,000000; 0,200959
537,000000; 0,200863
536,000000; 0,200782
535,000000; 0,200706
534,000000; 0,200658
533,000000; 0,200595
532,000000; 0,200537
531,000000; 0,200491
530,000000; 0,200453
529,000000; 0,200385
528,000000; 0,200291
527,000000; 0,200235
526,000000; 0,200218
525,000000; 0,200186
524,000000; 0,200127
523,000000; 0,200099
522,000000; 0,200055
521,000000; 0,199998
520,000000; 0,199985
519,000000; 0,199932
518,000000; 0,199942
517,000000; 0,199957
