nm; A
800,000000; 0,377700
799,000000; 0,377740
798,000000; 0,377924
797,000000; 0,378166
796,000000; 0,378427
795,000000; 0,378712
794,000000; 0,378947
793,000000; 0,379203
792,000000; 0,379484
791,000000; 0,379769
790,000000; 0,380017
789,000000; 0,380262
788,000000; 0,380566
787,000000; 0,380885
786,000000; 0,381185
785,000000; 0,381444
784,000000; 0,381796
783,000000; 0,382097
782,000000; 0,382381
781,000000; 0,382689
780,000000; 0,383061
779,000000; 0,383398
778,000000; 0,383675
777,000000; 0,384006
776,000000; 0,384356
775,000000; 0,384639
774,000000; 0,384969
773,000000; 0,385304
772,000000; 0,385673
771,000000; 0,386037
770,000000; 0,386348
769,000000; 0,386701
768,000000; 0,387080
767,000000; 0,387403
766,000000; 0,387717
765,000000; 0,388085
764,000000; 0,388427
763,000000; 0,388787
762,000000; 0,389115
761,000000; 0,389459
760,000000; 0,389867
759,000000; 0,390258
758,000000; 0,390582
757,000000; 0,390949
756,000000; 0,391346
755,000000; 0,391735
754,000000; 0,392086
753,000000; 0,392531
752,000000; 0,392904
751,000000; 0,393242
750,000000; 0,393612
749,000000; 0,394046
748,000000; 0,394471
747,000000; 0,394875
746,000000; 0,395287
745,000000; 0,395713
744,000000; 0,396093
743,000000; 0,396477
742,000000; 0,396881
741,000000; 0,397295
740,000000; 0,397706
739,000000; 0,398099
738,000000; 0,398521
737,000000; 0,398955
736,000000; 0,399383
735,000000; 0,399801
734,000000; 0,400213
733,000000; 0,400737
732,000000; 0,401186
731,000000; 0,401618
730,000000; 0,402054
729,000000; 0,402485
728,000000; 0,402955
727,000000; 0,403425
726,000000; 0,403895
725,000000; 0,404382
724,000000; 0,404903
723,000000; 0,405361
722,000000; 0,405840
721,000000; 0,406349
720,000000; 0,406855
719,000000; 0,407328
718,000000; 0,407849
717,000000; 0,408388
716,000000; 0,408898
715,000000; 0,409407
714,000000; 0,409948
713,000000; 0,410481
712,000000; 0,410981
711,000000; 0,411495
710,000000; 0,412016
709,000000; 0,412542
708,000000; 0,413112
707,000000; 0,413675
706,000000; 0,414217
705,000000; 0,414737
704,000000; 0,415242
703,000000; 0,415762
702,000000; 0,416271
701,000000; 0,416788
700,000000; 0,417322
699,000000; 0,417860
698,000000; 0,418361
697,000000; 0,418906
696,000000; 0,419408
695,000000; 0,419919
694,000000; 0,420442
693,000000; 0,420939
692,000000; 0,421429
691,000000; 0,421920
690,000000; 0,422398
689,000000; 0,422879
688,000000; 0,423389
687,000000; 0,423914
686,000000; 0,424303
685,000000; 0,424752
684,000000; 0,425219
683,000000; 0,425604
682,000000; 0,426062
681,000000; 0,426465
680,000000; 0,426831
679,000000; 0,427207
678,000000; 0,427609
677,000000; 0,427887
676,000000; 0,428311
675,000000; 0,428673
674,000000; 0,428972
673,000000; 0,429243
672,000000; 0,429513
671,000000; 0,429739
670,000000; 0,429973
669,000000; 0,430155
668,000000; 0,430265
667,000000; 0,430396
666,000000; 0,430472
665,000000; 0,430540
664,000000; 0,430626
663,000000; 0,430738
662,000000; 0,430861
661,000000; 0,431076
660,000000; 0,431308
659,000000; 0,431617
658,000000; 0,431995
657,000000; 0,432269
656,000000; 0,432530
655,000000; 0,432784
654,000000; 0,433033
653,000000; 0,433288
652,000000; 0,433573
651,000000; 0,433785
650,000000; 0,434026
649,000000; 0,434261
648,000000; 0,434473
647,000000; 0,434734
646,000000; 0,434955
645,000000; 0,435231
644,000000; 0,435510
643,000000; 0,435738
642,000000; 0,435999
641,000000; 0,436301
640,000000; 0,436599
639,000000; 0,436892
638,000000; 0,437195
637,000000; 0,437502
636,000000; 0,437779
635,000000; 0,438099
634,000000; 0,438439
633,000000; 0,438760
632,000000; 0,439041
631,000000; 0,439388
630,000000; 0,439679
629,000000; 0,439979
628,000000; 0,440331
627,000000; 0,440642
626,000000; 0,441008
625,000000; 0,441322
624,000000; 0,441676
623,000000; 0,442067
622,000000; 0,442280
621,000000; 0,442677
620,000000; 0,442968
619,000000; 0,443274
618,000000; 0,443626
617,000000; 0,443916
616,000000; 0,444197
615,000000; 0,444505
614,000000; 0,444783
613,000000; 0,445030
612,000000; 0,445297
611,000000; 0,445543
610,000000; 0,445774
609,000000; 0,445989
608,000000; 0,446208
607,000000; 0,446450
606,000000; 0,446596
605,000000; 0,446815
604,000000; 0,446984
603,000000; 0,447139
602,000000; 0,447352
601,000000; 0,447425
600,000000; 0,447625
599,000000; 0,447776
598,000000; 0,447891
597,000000; 0,448015
596,000000; 0,448065
595,000000; 0,448192
594,000000; 0,448352
593,000000; 0,448474
592,000000; 0,448524
591,000000; 0,448607
590,000000; 0,448692
589,000000; 0,448803
588,000000; 0,448878
587,000000; 0,448899
586,000000; 0,448949
585,000000; 0,448984
584,000000; 0,449024
583,000000; 0,449079
582,000000; 0,449115
581,000000; 0,449046
580,000000; 0,449091
579,000000; 0,449140
578,000000; 0,449154
577,000000; 0,449126
576,000000; 0,449085
575,000000; 0,449110
574,000000; 0,449049
573,000000; 0,448989
572,000000; 0,448966
571,000000; 0,448975
570,000000; 0,448907
569,000000; 0,448859
568,000000; 0,448769
567,000000; 0,448676
566,000000; 0,448654
565,000000; 0,448569
564,000000; 0,448497
563,000000; 0,448393
562,000000; 0,448256
561,000000; 0,448116
560,000000; 0,448061
559,000000; 0,447934
558,000000; 0,447800
557,000000; 0,447714
556,000000; 0,447669
555,000000; 0,447453
554,000000; 0,447333
553,000000; 0,447251
552,000000; 0,447139
551,000000; 0,446963
550,000000; 0,446766
549,000000; 0,446645
548,000000; 0,446547
547,000000; 0,446420
546,000000; 0,446249
545,000000; 0,446094
544,000000; 0,445975
543,000000; 0,445793
542,000000; 0,445634
541,000000; 0,445507
540,000000; 0,445317
539,000000; 0,445214
538,000000; 0,445143
537,000000; 0,445016
536,000000; 0,444831
535,000000; 0,444664
534,000000; 0,444567
533,000000; 0,444446
532,000000; 0,444310
531,000000; 0,444167
530,000000; 0,444022
529,000000; 0,443967
528,000000; 0,443834
527,000000; 0,443692
526,000000; 0,443580
525,000000; 0,443507
524,000000; 0,443374
523,000000; 0,443253
522,000000; 0,443115
521,000000; 0,442990
520,000000; 0,442972
519,000000; 0,442816
518,000000; 0,442746
517,000000; 0,442662
516,000000; 0,442516
515,000000; 0,442317
514,000000; 0,442167
513,000000; 0,442067
512,000000; 0,441920
511,000000; 0,441714
510,000000; 0,441544
509,000000; 0,441336
508,000000; 0,441142
507,000000; 0,440909
506,000000; 0,440630
505,000000; 0,440368
504,000000; 0,439953
503,000000; 0,439664
502,000000; 0,439329
501,000000; 0,438896
500,000000; 0,438518
499,000000; 0,437992
498,000000; 0,437467
497,000000; 0,436946
