nm; A
800,000000; 0,046803
799,000000; 0,047170
798,000000; 0,047533
797,000000; 0,047939
796,000000; 0,048393
795,000000; 0,048861
794,000000; 0,049332
793,000000; 0,049825
792,000000; 0,050284
791,000000; 0,050662
790,000000; 0,050930
789,000000; 0,051163
788,000000; 0,051274
787,000000; 0,051324
786,000000; 0,051296
785,000000; 0,051134
784,000000; 0,050980
783,000000; 0,050771
782,000000; 0,050489
781,000000; 0,050200
780,000000; 0,050001
779,000000; 0,049776
778,000000; 0,049640
777,000000; 0,049585
776,000000; 0,049601
775,000000; 0,049680
774,000000; 0,049922
773,000000; 0,050236
772,000000; 0,050641
771,000000; 0,051112
770,000000; 0,051611
769,000000; 0,052183
768,000000; 0,052758
767,000000; 0,053319
766,000000; 0,053859
765,000000; 0,054361
764,000000; 0,054728
763,000000; 0,054999
762,000000; 0,055211
761,000000; 0,055328
760,000000; 0,055326
759,000000; 0,055311
758,000000; 0,055184
757,000000; 0,055010
756,000000; 0,054801
755,000000; 0,054576
754,000000; 0,054422
753,000000; 0,054333
752,000000; 0,054284
751,000000; 0,054349
750,000000; 0,054571
749,000000; 0,054812
748,000000; 0,055301
747,000000; 0,055831
746,000000; 0,056433
745,000000; 0,057126
744,000000; 0,057816
743,000000; 0,058524
742,000000; 0,059219
741,000000; 0,059857
740,000000; 0,060411
739,000000; 0,060878
738,000000; 0,061234
737,000000; 0,061473
736,000000; 0,061631
735,000000; 0,061713
734,000000; 0,061683
733,000000; 0,061621
732,000000; 0,061520
731,000000; 0,061466
730,000000; 0,061476
729,000000; 0,061514
728,000000; 0,061665
727,000000; 0,061961
726,000000; 0,062384
725,000000; 0,062925
724,000000; 0,063577
723,000000; 0,064388
722,000000; 0,065252
721,000000; 0,066181
720,000000; 0,067131
719,000000; 0,068041
718,000000; 0,068854
717,000000; 0,069622
716,000000; 0,070307
715,000000; 0,070881
714,000000; 0,071322
713,000000; 0,071609
712,000000; 0,071861
711,000000; 0,072015
710,000000; 0,072147
709,000000; 0,072328
708,000000; 0,072568
707,000000; 0,072932
706,000000; 0,073416
705,000000; 0,074017
704,000000; 0,074751
703,000000; 0,075681
702,000000; 0,076772
701,000000; 0,077957
700,000000; 0,079226
699,000000; 0,080550
698,000000; 0,081888
697,000000; 0,083225
696,000000; 0,084489
695,000000; 0,085684
694,000000; 0,086797
693,000000; 0,087806
692,000000; 0,088782
691,000000; 0,089687
690,000000; 0,090590
689,000000; 0,091536
688,000000; 0,092563
687,000000; 0,093822
686,000000; 0,095259
685,000000; 0,096959
684,000000; 0,098903
683,000000; 0,101048
682,000000; 0,103557
681,000000; 0,106296
680,000000; 0,109300
679,000000; 0,112506
678,000000; 0,115829
677,000000; 0,119304
676,000000; 0,122946
675,000000; 0,126662
674,000000; 0,130433
673,000000; 0,134272
672,000000; 0,138309
671,000000; 0,142569
670,000000; 0,147064
669,000000; 0,151742
668,000000; 0,156601
667,000000; 0,161844
666,000000; 0,167374
