nm; A
800,000000; 0,258799
799,000000; 0,258906
798,000000; 0,259039
797,000000; 0,259179
796,000000; 0,259319
795,000000; 0,259457
794,000000; 0,259607
793,000000; 0,259771
792,000000; 0,259915
791,000000; 0,260052
790,000000; 0,260233
789,000000; 0,260399
788,000000; 0,260559
787,000000; 0,260731
786,000000; 0,260913
785,000000; 0,261083
784,000000; 0,261224
783,000000; 0,261445
782,000000; 0,261641
781,000000; 0,261807
780,000000; 0,261987
779,000000; 0,262181
778,000000; 0,262376
777,000000; 0,262583
776,000000; 0,262788
775,000000; 0,262973
774,000000; 0,263222
773,000000; 0,263423
772,000000; 0,263612
771,000000; 0,263792
770,000000; 0,263964
769,000000; 0,264249
768,000000; 0,264449
767,000000; 0,264669
766,000000; 0,264897
765,000000; 0,265103
764,000000; 0,265361
763,000000; 0,265589
762,000000; 0,265831
761,000000; 0,266064
760,000000; 0,266271
759,000000; 0,266541
758,000000; 0,266752
757,000000; 0,266980
756,000000; 0,267232
755,000000; 0,267489
754,000000; 0,267715
753,000000; 0,267935
752,000000; 0,268176
751,000000; 0,268460
750,000000; 0,268779
749,000000; 0,268993
748,000000; 0,269268
747,000000; 0,269529
746,000000; 0,269777
745,000000; 0,270020
744,000000; 0,270260
743,000000; 0,270535
742,000000; 0,270810
741,000000; 0,271083
740,000000; 0,271343
739,000000; 0,271561
738,000000; 0,271862
737,000000; 0,272150
736,000000; 0,272416
735,000000; 0,272676
734,000000; 0,272965
733,000000; 0,273259
732,000000; 0,273548
731,000000; 0,273811
730,000000; 0,274076
729,000000; 0,274412
728,000000; 0,274735
727,000000; 0,275042
726,000000; 0,275356
725,000000; 0,275666
724,000000; 0,275947
723,000000; 0,276290
722,000000; 0,276619
721,000000; 0,276917
720,000000; 0,277221
719,000000; 0,277571
718,000000; 0,277890
717,000000; 0,278235
716,000000; 0,278565
715,000000; 0,278894
714,000000; 0,279239
713,000000; 0,279563
712,000000; 0,279887
711,000000; 0,280208
710,000000; 0,280532
709,000000; 0,280862
708,000000; 0,281208
707,000000; 0,281551
706,000000; 0,281899
705,000000; 0,282218
704,000000; 0,282508
703,000000; 0,282841
702,000000; 0,283177
701,000000; 0,283509
700,000000; 0,283821
699,000000; 0,284118
698,000000; 0,284433
697,000000; 0,284769
696,000000; 0,285050
695,000000; 0,285333
694,000000; 0,285631
693,000000; 0,285924
692,000000; 0,286206
691,000000; 0,286503
690,000000; 0,286793
689,000000; 0,287060
688,000000; 0,287296
687,000000; 0,287531
686,000000; 0,287798
685,000000; 0,288041
684,000000; 0,288276
683,000000; 0,288530
682,000000; 0,288744
681,000000; 0,288935
680,000000; 0,289152
679,000000; 0,289374
678,000000; 0,289564
677,000000; 0,289728
676,000000; 0,289898
675,000000; 0,290071
674,000000; 0,290251
673,000000; 0,290433
672,000000; 0,290575
671,000000; 0,290759
670,000000; 0,290933
669,000000; 0,291097
668,000000; 0,291257
667,000000; 0,291415
666,000000; 0,291588
665,000000; 0,291763
664,000000; 0,291926
663,000000; 0,292074
662,000000; 0,292216
661,000000; 0,292341
660,000000; 0,292465
659,000000; 0,292593
658,000000; 0,292728
657,000000; 0,292867
656,000000; 0,292960
655,000000; 0,293066
654,000000; 0,293187
653,000000; 0,293330
652,000000; 0,293506
651,000000; 0,293635
650,000000; 0,293780
649,000000; 0,293925
648,000000; 0,294055
647,000000; 0,294188
646,000000; 0,294341
645,000000; 0,294448
644,000000; 0,294554
643,000000; 0,294715
642,000000; 0,294908
641,000000; 0,295083
640,000000; 0,295215
639,000000; 0,295338
638,000000; 0,295495
637,000000; 0,295654
636,000000; 0,295772
635,000000; 0,295927
634,000000; 0,296079
633,000000; 0,296201
632,000000; 0,296443
631,000000; 0,296575
